model,filter,row_order,ancestor_order,key_mode,lcs,kendall_tau,pairwise_concordance,exact_positions,exact_prefix,duplicate_flips,unique_dictionary_terms,input_terms,table_size,outer_kind,inner_kind,outer_count,pair_kind,set_policy,pair_count,mask_bits
first_direct_then_ancestors,exact_historical_mapped,accession_GO,sorted_asc,GO_ID,86,0.762258953168044,0.8811294765840221,10,5,001,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,accession_GO,dfs_pre_obo,GO_ID,86,0.762258953168044,0.8811294765840221,10,5,001,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,accession_GO,bfs_obo,GO_ID,86,0.762258953168044,0.8811294765840221,10,5,001,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,accession_GO,py2set_dfs_35,GO_ID,86,0.762258953168044,0.8811294765840221,10,5,001,13302,141790,,,,,,,,
raw_hash_bucket_proxy,,,,GO_ID,86,0.7137741046831956,0.8568870523415978,16,5,001,121,121,32768.0,,,,,,,15.0
direct_dict_then_propagate_py2keys,exact_historical_mapped,date_accession_GO,sorted_asc,GO_ID,84,0.6570247933884297,0.8285123966942148,11,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,date_accession_GO,dfs_pre_obo,GO_ID,84,0.6570247933884297,0.8285123966942148,11,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,date_accession_GO,bfs_obo,GO_ID,84,0.6570247933884297,0.8285123966942148,11,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,date_accession_GO,py2set_dfs_35,GO_ID,84,0.6570247933884297,0.8285123966942148,11,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,date_accession_GO,py2set_bfs_35,GO_ID,84,0.6570247933884297,0.8285123966942148,11,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,source,sorted_asc,GO_ID,81,0.5975206611570247,0.7987603305785124,7,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,source,dfs_pre_obo,GO_ID,81,0.5975206611570247,0.7987603305785124,7,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,source,bfs_obo,GO_ID,81,0.5975206611570247,0.7987603305785124,7,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,source,py2set_dfs_35,GO_ID,81,0.5975206611570247,0.7987603305785124,7,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,source,py2set_bfs_35,GO_ID,81,0.5975206611570247,0.7987603305785124,7,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,accession_GO,sorted_asc,GO_ID,81,0.5975206611570247,0.7987603305785124,7,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,accession_GO,dfs_pre_obo,GO_ID,81,0.5975206611570247,0.7987603305785124,7,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,accession_GO,bfs_obo,GO_ID,81,0.5975206611570247,0.7987603305785124,7,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,accession_GO,py2set_dfs_35,GO_ID,81,0.5975206611570247,0.7987603305785124,7,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,accession_GO,py2set_bfs_35,GO_ID,81,0.5975206611570247,0.7987603305785124,7,6,001,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_all_accessions,date_accession_GO,sorted_asc,GO_ID,79,0.6137741046831955,0.8068870523415977,3,0,001,16357,186381,,,,,,,,
direct_dict_then_propagate_py2keys,exact_all_accessions,date_accession_GO,dfs_pre_obo,GO_ID,79,0.6137741046831955,0.8068870523415977,3,0,001,16357,186381,,,,,,,,
direct_dict_then_propagate_py2keys,exact_all_accessions,date_accession_GO,bfs_obo,GO_ID,79,0.6137741046831955,0.8068870523415977,3,0,001,16357,186381,,,,,,,,
direct_dict_then_propagate_py2keys,exact_all_accessions,date_accession_GO,py2set_dfs_35,GO_ID,79,0.6137741046831955,0.8068870523415977,3,0,001,16357,186381,,,,,,,,
direct_dict_then_propagate_py2keys,exact_all_accessions,date_accession_GO,py2set_bfs_35,GO_ID,79,0.6137741046831955,0.8068870523415977,3,0,001,16357,186381,,,,,,,,
