file_kind,category,value,count
GAF,Date,20110907,102
GAF,Date,20120109,102
GAF,Date,20131118,102
GAF,Date,20131219,102
GAF,Date,20140612,102
GAF,Date,20140819,102
GAF,Date,20140916,102
GAF,Date,20090603,101
GAF,Date,20090805,101
GAF,Date,20091109,101
GAF,Date,20110114,101
GAF,Date,20110802,101
GAF,Date,20120105,101
GAF,Date,20130610,101
GAF,Date,20140117,101
GAF,Date,20140704,101
GAF,Date,20150311,101
GAF,Date,20150925,101
GAF,Date,20160608,101
GAF,Date,20091127,100
GAF,Date,20110329,100
GAF,Date,20110902,100
GAF,Date,20120726,100
GAF,Date,20140516,100
GAF,Date,20150219,100
GAF,Date,20150402,100
GAF,Date,20160609,100
GAF,Date,20050708,99
GAF,Date,20060112,99
GAF,Date,20090514,99
GAF,Date,20110426,99
GAF,Date,20121126,99
GAF,Date,20140103,99
GAF,Date,20140716,99
GAF,Date,20150202,99
GAF,Date,20150626,99
GAF,Date,20150810,99
GAF,Date,20060110,98
GAF,Date,20110124,98
GAF,Date,20130903,98
GAF,Date,20140331,98
GAF,Date,20140611,98
GAF,Date,20150105,98
GAF,Date,20151018,98
GAF,Date,20090723,97
GAF,Date,20100611,97
GAF,Date,20111003,97
GAF,Date,20130509,97
GAF,Date,20140113,97
GAF,Date,20140504,97
GAF,Date,20150129,97
GAF,Date,20160113,97
GAF,Date,20010824,96
GAF,Date,20090626,96
GAF,Date,20110117,96
GAF,Date,20110518,96
GAF,Date,20120123,96
GAF,Date,20120810,96
GAF,Date,20130621,96
GAF,Date,20140424,96
GAF,Date,20141105,96
GAF,Date,20150616,96
GAF,Date,20150624,96
GAF,Date,20150928,96
GAF,Date,20151103,96
GAF,Date,20041203,95
GAF,Date,20071114,95
GAF,Date,20080201,95
GAF,Date,20080623,95
GAF,Date,20090827,95
GAF,Date,20131126,95
GAF,Date,20141218,95
GAF,Date,20150204,95
GAF,Date,20150226,95
GAF,Date,20150618,95
GAF,Date,20150630,95
GAF,Date,20150918,95
GAF,Date,20160210,95
GAF,Date,20160506,95
GAF,Date,20061108,94
GAF,Date,20070220,94
GAF,Date,20080829,94
GAF,Date,20110413,94
GAF,Date,20110916,94
GAF,Date,20120126,94
GAF,Date,20120731,94
GAF,Date,20121116,94
GAF,Date,20140410,94
GAF,Date,20010912,93
GAF,Date,20031120,93
GAF,Date,20090429,93
GAF,Date,20091215,93
GAF,Date,20100514,93
GAF,Date,20120606,93
GAF,Date,20120727,93
GAF,Date,20130404,93
GAF,Date,20140508,93
GAF,Date,20141028,93
GAF,Date,20141110,93
GAF,Date,20150217,93
GAF,Date,20150305,93
GAF,Date,20151015,93
GAF,Date,20090427,92
GAF,Date,20100430,92
GAF,Date,20110307,92
GAF,Date,20120927,92
GAF,Date,20130206,92
GAF,Date,20150116,92
GAF,Date,20151214,92
GAF,Date,20050627,91
GAF,Date,20100603,91
GAF,Date,20100712,91
GAF,Date,20110403,91
GAF,Date,20111122,91
GAF,Date,20120319,91
GAF,Date,20120413,91
GAF,Date,20130327,91
GAF,Date,20131125,91
GAF,Date,20140221,91
GAF,Date,20140604,91
GAF,Date,20150415,91
GAF,Date,20020606,90
GAF,Date,20120104,90
GAF,Date,20140821,90
GAF,Date,20140826,90
GAF,Date,20140923,90
GAF,Date,20150106,90
GAF,Date,20150331,90
GAF,Date,20060428,89
GAF,Date,20061130,89
GAF,Date,20090511,89
GAF,Date,20090619,89
GAF,Date,20091007,89
GAF,Date,20100930,89
GAF,Date,20110204,89
GAF,Date,20110708,89
GAF,Date,20110901,89
GAF,Date,20110922,89
GAF,Date,20111024,89
GAF,Date,20111205,89
GAF,Date,20111216,89
GAF,Date,20120503,89
GAF,Date,20140505,89
GAF,Date,20140930,89
GAF,Date,20090325,88
GAF,Date,20101220,88
GAF,Date,20111214,88
GAF,Date,20130821,88
GAF,Date,20140806,88
GAF,Date,20150114,88
GAF,Date,20151117,88
GAF,Date,20080415,87
GAF,Date,20100728,87
GAF,Date,20101123,87
GAF,Date,20120517,87
GAF,Date,20130318,87
GAF,Date,20140828,87
GAF,Date,20141001,87
GAF,Date,20150326,87
GAF,Date,20151019,87
GAF,Date,20160613,87
GAF,Date,20050412,86
GAF,Date,20060317,86
GAF,Date,20090218,86
GAF,Date,20090724,86
GAF,Date,20101102,86
GAF,Date,20110824,86
GAF,Date,20120103,86
GAF,Date,20120312,86
GAF,Date,20130326,86
GAF,Date,20130906,86
GAF,Date,20141208,86
GAF,Date,20150430,86
GAF,Date,20150520,86
GAF,Date,20150605,86
GAF,Date,20070723,85
GAF,Date,20080919,85
GAF,Date,20100602,85
GAF,Date,20120530,85
GAF,Date,20120615,85
GAF,Date,20130227,85
GAF,Date,20131106,85
GAF,Date,20131121,85
GAF,Date,20151110,85
GAF,Date,20030822,84
