source_name,mapping_strategy,evidence_filter,term_scope,comparison_scope,candidate_GO_terms,comparison_genes,label_columns,exact_matches,agreement_at_least_99_percent,agreement_at_least_95_percent,median_best_agreement,mean_best_agreement,minimum_mismatch_genes,mean_mismatch_genes
GOA human GAF v159 direct BP annotations,primary_symbol_unique,experimental_plus_TAS_NAS_IC,all_bp,mapping_covered_genes_only,5729,4183,121,0,0,0,0.8082715754243366,0.755247034928864,273,1023.801652892562
GOA human GAF v159 direct BP annotations,primary_symbol_unique,experimental_plus_TAS_NAS_IC,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2577,4183,121,0,0,0,0.8082715754243366,0.7547550790981995,297,1025.8595041322315
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_only,all_bp,all_4268_resolved_genes,5037,4268,121,0,0,0,0.8081068416119963,0.7543878333475335,317,1048.2727272727273
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_only,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2266,4268,121,0,0,0,0.8081068416119963,0.7540489671357866,317,1049.719008264463
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_TAS,all_bp,all_4268_resolved_genes,5597,4268,121,0,0,0,0.8081068416119963,0.754970683231738,300,1045.7851239669421
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_TAS,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2535,4268,121,0,0,0,0.8081068416119963,0.7544943341569396,320,1047.8181818181818
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_TAS_IC,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2550,4268,121,0,0,0,0.8081068416119963,0.7544691612383527,320,1047.9256198347107
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_TAS_NAS_IC,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2592,4268,121,0,0,0,0.8081068416119963,0.7544013879960033,320,1048.2148760330579
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_only,all_bp,all_4268_resolved_genes,5037,4268,121,0,0,0,0.8081068416119963,0.754345233023771,317,1048.4545454545455
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_only,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2266,4268,121,0,0,0,0.8081068416119963,0.7540063668120242,317,1049.900826446281
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_plus_TAS,all_bp,all_4268_resolved_genes,5597,4268,121,0,0,0,0.8081068416119963,0.7549280829079755,300,1045.9669421487604
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_plus_TAS,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2535,4268,121,0,0,0,0.8081068416119963,0.7544517338331771,320,1048
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_plus_TAS_IC,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2550,4268,121,0,0,0,0.8081068416119963,0.7544265609145903,320,1048.107438016529
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_plus_TAS_NAS_IC,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2592,4268,121,0,0,0,0.8081068416119963,0.7543587876722408,320,1048.396694214876
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_only,all_bp,mapping_covered_genes_only,5037,4251,121,0,0,0,0.808045165843331,0.7547256746589524,315,1042.6611570247933
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_only,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2266,4251,121,0,0,0,0.808045165843331,0.7543854533012164,315,1044.107438016529
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_plus_TAS,all_bp,mapping_covered_genes_only,5597,4251,121,0,0,0,0.808045165843331,0.7553108553942582,289,1040.1735537190082
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,experimental_plus_TAS,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2535,4251,121,0,0,0,0.808045165843331,0.7548326013713836,309,1042.206611570248
GOA human GAF v159 direct BP annotations,primary_symbol_unique,experimental_plus_TAS_IC,all_bp,mapping_covered_genes_only,5604,4183,121,0,0,0,0.8080325125508009,0.7553359426091045,272,1023.4297520661157
GOA human GAF v159 direct BP annotations,primary_symbol_unique,experimental_plus_TAS_IC,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2535,4183,121,0,0,0,0.8080325125508009,0.7548202780637092,297,1025.5867768595042
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_only,all_bp,mapping_covered_genes_only,5037,4253,121,0,0,0,0.8079003056665883,0.754660298126942,315,1043.4297520661157
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_only,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2266,4253,121,0,0,0,0.8079003056665883,0.7543202367604394,315,1044.8760330578511
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_TAS,all_bp,mapping_covered_genes_only,5597,4253,121,0,0,0,0.8079003056665883,0.7552452036773265,289,1040.9421487603306
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_TAS,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2535,4253,121,0,0,0,0.8079003056665883,0.7547671745564143,309,1042.9752066115702
