universe,heldout_tissues,heldout_indices,random_samples_conditional,optimized_mean_wup,random_mean_mean_wup,difference_mean_wup,optimized_max_wup,random_mean_max_wup,difference_max_wup,optimized_row_overlap,random_mean_row_overlap,difference_row_overlap,optimized_unique_overlap,random_mean_unique_overlap,difference_unique_overlap,optimized_lookup_micro_f1,random_mean_lookup_micro_f1,difference_lookup_micro_f1,optimized_training_node_total,random_mean_training_node_total,difference_training_node_total,optimized_training_edge_total,random_mean_training_edge_total,difference_training_edge_total
all144,cerebral_cortex|hematopoietic_stem_cell|lung|skeletal_muscle,27|55|70|109,40,0.205406607282,0.2417295478284359,-0.036322940546435895,0.333333333333,0.3533333420753479,-0.020000008742347863,0.9787812363,0.983171857893467,-0.004390621593466926,0.941273326015,0.9562980189919472,-0.015024692976947196,0.991059497801,0.992742732167244,-0.0016832343662439575,43430.0,44260.35,-830.3499999999985,610119.0,619628.825,-9509.824999999953
all144,cerebral_cortex|hematopoietic_stem_cell|lung|skin,27|55|70|110,27,0.205406607282,0.24399521229443727,-0.03858860501243727,0.333333333333,0.3530864285098182,-0.01975309517681817,0.977002090719,0.9815403995690523,-0.004538308850052242,0.939716312057,0.9527186773441456,-0.0130023652871456,0.99027286381,0.9920674407923663,-0.0017945769823662916,43430.0,44262.25925925926,-832.2592592592628,610119.0,618545.2962962963,-8426.296296296292
all144,cerebral_cortex|hematopoietic_stem_cell|lung|small_intestine,27|55|70|112,34,0.200936285936,0.2335807295406566,-0.0326444436046566,0.333333333333,0.3333333432674408,-9.934440770020814e-09,0.984300708711,0.986021034857806,-0.0017203261468060616,0.956162117452,0.9618303880972021,-0.005668270645202145,0.993556168545,0.9938753492691937,-0.0003191807241937905,43385.0,44222.705882352944,-837.7058823529442,610356.0,618626.5294117647,-8270.529411764699
all144,cerebral_cortex|hematopoietic_stem_cell|lung|spleen,27|55|70|118,30,0.210923104673,0.24210679878791172,-0.03118369411491173,0.333333333333,0.3622222304344177,-0.028888897101417677,0.978874474053,0.9807795683542887,-0.0019050943012887123,0.944520736062,0.9521743059158325,-0.007653569853832476,0.990836194225,0.991675712664922,-0.0008395184399220268,43801.0,44405.2,-604.1999999999971,609347.0,618176.9666666667,-8829.966666666674
all144,cerebral_cortex|hematopoietic_stem_cell|lung|testis,27|55|70|126,45,0.211962135087,0.2331435137324863,-0.021181378645486304,0.333333333333,0.3629629711310069,-0.02962963779800687,0.985909367661,0.9815565387407938,0.004352828920206164,0.961764705882,0.950142608748542,0.011622097133458076,0.993969278368,0.9922159579065111,0.0017533204614889053,44725.0,44466.15555555555,258.8444444444467,629915.0,622422.8222222222,7492.177777777775
all144,cerebral_cortex|hematopoietic_stem_cell|lung|uterus,27|55|70|140,29,0.211962135087,0.23250971991440345,-0.02054758482740346,0.333333333333,0.3632183989574169,-0.029885065624416896,0.989394770525,0.984438941396516,0.004955829128484024,0.971373520506,0.9585979046492741,0.01277561585672593,0.99547338913,0.9932698443018156,0.0022035448281844117,44725.0,44371.1724137931,353.82758620689856,629915.0,621162.6896551724,8752.310344827594
all144,cerebral_cortex|hematopoietic_stem_cell|lymph_node|ovary,27|55|71|94,44,0.217558621934,0.23635705662044612,-0.018798434686446125,0.333333333333,0.3651515231891112,-0.03181818985611118,0.987905913723,0.9838067387992685,0.004099174923731463,0.966529653553,0.9559400542215868,0.010589599331413235,0.994256043542,0.9929151656952772,0.0013408778467228766,45167.0,44758.431818181816,408.5681818181838,628575.0,624740.6363636364,3834.363636363647
all144,cerebral_cortex|hematopoietic_stem_cell|lymph_node|pancreas,27|55|71|96,37,0.199172563548,0.22867267719797185,-0.02950011364997185,0.333333333333,0.34774775682268916,-0.014414423489689132,0.98202247191,0.9831055789380461,-0.0010831070280460375,0.95112889397,0.955678454927496,-0.004549560957496035,0.992661960283,0.993080110163302,-0.00041814988030197675,43736.0,44355.18918918919,-619.1891891891864,608713.0,617289.3783783783,-8576.378378378344
all144,cerebral_cortex|hematopoietic_stem_cell|lymph_node|placenta,27|55|71|100,41,0.217558621934,0.23548591209620964,-0.017927290162209647,0.333333333333,0.3528455372263746,-0.019512203893374547,0.991366505756,0.9850447904772874,0.006321715278712614,0.977120535714,0.9617949666046515,0.015325569109348569,0.995956510477,0.9935645388393868,0.002391971637613177,45167.0,44872.58536585366,294.414634146342,628575.0,626959.731707317,1615.2682926829439
all144,cerebral_cortex|hematopoietic_stem_cell|lymph_node|prostate_gland,27|55|71|103,42,0.217558621934,0.23556289892821086,-0.018004276994210866,0.333333333333,0.3603174686431885,-0.02698413531018845,0.989645829301,0.9869985254037947,0.0026473038972052443,0.971368923352,0.9649212544872647,0.006447668864735245,0.995053715515,0.9941986132235754,0.0008551022914246031,45167.0,44800.19047619047,366.8095238095266,628575.0,625611.2380952381,2963.7619047618937
