universe,null,block,start,end,metric,mean
leaf107,uniform,6,300000,350000,mean_wup,0.25034868831783536
leaf107,uniform,6,300000,350000,row_overlap,0.9696886385786533
leaf107,uniform,6,300000,350000,f1,0.9875890611112118
leaf107,uniform,6,300000,350000,role_min_f1,0.984398523542881
leaf107,uniform,6,300000,350000,train_nodes,40518.5227
leaf107,uniform,6,300000,350000,train_edges,541828.16408
leaf107,uniform,7,350000,400000,mean_wup,0.2504559439763427
leaf107,uniform,7,350000,400000,row_overlap,0.9697583566725254
leaf107,uniform,7,350000,400000,f1,0.9876219581687451
leaf107,uniform,7,350000,400000,role_min_f1,0.9844261003184318
leaf107,uniform,7,350000,400000,train_nodes,40509.39782
leaf107,uniform,7,350000,400000,train_edges,541670.37702
leaf107,uniform,8,400000,450000,mean_wup,0.25043066031783817
leaf107,uniform,8,400000,450000,row_overlap,0.9694303041672706
leaf107,uniform,8,400000,450000,f1,0.9874794147014618
leaf107,uniform,8,400000,450000,role_min_f1,0.9842723227858543
leaf107,uniform,8,400000,450000,train_nodes,40498.90868
leaf107,uniform,8,400000,450000,train_edges,541428.3599
leaf107,uniform,9,450000,500000,mean_wup,0.2503957832717896
leaf107,uniform,9,450000,500000,row_overlap,0.9696474025082589
leaf107,uniform,9,450000,500000,f1,0.9875724642658233
leaf107,uniform,9,450000,500000,role_min_f1,0.9843831972110272
leaf107,uniform,9,450000,500000,train_nodes,40505.1098
leaf107,uniform,9,450000,500000,train_edges,541549.11328
leaf107,uniform,10,500000,550000,mean_wup,0.2503689975988865
leaf107,uniform,10,500000,550000,row_overlap,0.9695216026186944
leaf107,uniform,10,500000,550000,f1,0.9875168648672104
leaf107,uniform,10,500000,550000,role_min_f1,0.9843181342828273
leaf107,uniform,10,500000,550000,train_nodes,40504.24332
leaf107,uniform,10,500000,550000,train_edges,541583.33114
leaf107,uniform,11,550000,600000,mean_wup,0.2503106711795926
leaf107,uniform,11,550000,600000,row_overlap,0.969813401453495
leaf107,uniform,11,550000,600000,f1,0.9876440044224262
leaf107,uniform,11,550000,600000,role_min_f1,0.9844606337296963
leaf107,uniform,11,550000,600000,train_nodes,40516.6322
leaf107,uniform,11,550000,600000,train_edges,541800.37522
leaf107,uniform,12,600000,650000,mean_wup,0.250377668325901
leaf107,uniform,12,600000,650000,row_overlap,0.9694951417922973
leaf107,uniform,12,600000,650000,f1,0.9875041493308544
leaf107,uniform,12,600000,650000,role_min_f1,0.9842968523037433
leaf107,uniform,12,600000,650000,train_nodes,40496.46632
leaf107,uniform,12,600000,650000,train_edges,541405.26908
leaf107,uniform,13,650000,700000,mean_wup,0.25033206563800575
leaf107,uniform,13,650000,700000,row_overlap,0.9696669910895824
leaf107,uniform,13,650000,700000,f1,0.9875894053077697
leaf107,uniform,13,650000,700000,role_min_f1,0.9843967107343674
leaf107,uniform,13,650000,700000,train_nodes,40516.6754
leaf107,uniform,13,650000,700000,train_edges,541805.0882
leaf107,uniform,14,700000,750000,mean_wup,0.25044825658231973
leaf107,uniform,14,700000,750000,row_overlap,0.9697323684716225
leaf107,uniform,14,700000,750000,f1,0.987613328191042
leaf107,uniform,14,700000,750000,role_min_f1,0.9844248886299133
leaf107,uniform,14,700000,750000,train_nodes,40521.3364
leaf107,uniform,14,700000,750000,train_edges,541902.33096
leaf107,uniform,15,750000,800000,mean_wup,0.2502918548905849
leaf107,uniform,15,750000,800000,row_overlap,0.9695847310972213
leaf107,uniform,15,750000,800000,f1,0.9875427875947952
leaf107,uniform,15,750000,800000,role_min_f1,0.9843296569514275
leaf107,uniform,15,750000,800000,train_nodes,40507.8137
leaf107,uniform,15,750000,800000,train_edges,541606.4262
leaf107,uniform,16,800000,850000,mean_wup,0.2503333333045244
leaf107,uniform,16,800000,850000,row_overlap,0.9696315942513942
leaf107,uniform,16,800000,850000,f1,0.9875677613997459
leaf107,uniform,16,800000,850000,role_min_f1,0.9843679784107209
leaf107,uniform,16,800000,850000,train_nodes,40511.68372
leaf107,uniform,16,800000,850000,train_edges,541684.12474
leaf107,uniform,17,850000,900000,mean_wup,0.2502563519114256
leaf107,uniform,17,850000,900000,row_overlap,0.9696409139192105
leaf107,uniform,17,850000,900000,f1,0.9875677955830097
leaf107,uniform,17,850000,900000,role_min_f1,0.9843658045816421
leaf107,uniform,17,850000,900000,train_nodes,40507.7546
leaf107,uniform,17,850000,900000,train_edges,541623.43618
leaf107,uniform,18,900000,950000,mean_wup,0.2504327232855558
leaf107,uniform,18,900000,950000,row_overlap,0.9695677130138874
leaf107,uniform,18,900000,950000,f1,0.9875391171467304
leaf107,uniform,18,900000,950000,role_min_f1,0.9843405025064945
leaf107,uniform,18,900000,950000,train_nodes,40499.05812
leaf107,uniform,18,900000,950000,train_edges,541457.03912
leaf107,uniform,19,950000,1000000,mean_wup,0.25031504843860863
leaf107,uniform,19,950000,1000000,row_overlap,0.9695569057905674
leaf107,uniform,19,950000,1000000,f1,0.987542895731926
leaf107,uniform,19,950000,1000000,role_min_f1,0.9843234546029568
leaf107,uniform,19,950000,1000000,train_nodes,40508.65958
leaf107,uniform,19,950000,1000000,train_edges,541632.68886
leaf107,matched_stratified,0,0,50000,mean_wup,0.23378263678729533
leaf107,matched_stratified,0,0,50000,row_overlap,0.9756335618686676
leaf107,matched_stratified,0,0,50000,f1,0.9901769459402561
leaf107,matched_stratified,0,0,50000,role_min_f1,0.9878043423652649
leaf107,matched_stratified,0,0,50000,train_nodes,41747.8646
leaf107,matched_stratified,0,0,50000,train_edges,567085.6819
leaf107,matched_stratified,1,50000,100000,mean_wup,0.23371054181158543
leaf107,matched_stratified,1,50000,100000,row_overlap,0.9757029655826092
leaf107,matched_stratified,1,50000,100000,f1,0.9902057672727108
leaf107,matched_stratified,1,50000,100000,role_min_f1,0.9878489504694938
leaf107,matched_stratified,1,50000,100000,train_nodes,41752.57216
leaf107,matched_stratified,1,50000,100000,train_edges,567205.06184
leaf107,matched_stratified,2,100000,150000,mean_wup,0.23371067496180534
leaf107,matched_stratified,2,100000,150000,row_overlap,0.9756439000737667
leaf107,matched_stratified,2,100000,150000,f1,0.9901846866428852
leaf107,matched_stratified,2,100000,150000,role_min_f1,0.9878227084219455
leaf107,matched_stratified,2,100000,150000,train_nodes,41749.32156
leaf107,matched_stratified,2,100000,150000,train_edges,567155.4766
leaf107,matched_stratified,3,150000,200000,mean_wup,0.23368437876760959
leaf107,matched_stratified,3,150000,200000,row_overlap,0.9755916543722153
leaf107,matched_stratified,3,150000,200000,f1,0.9901595746147632
leaf107,matched_stratified,3,150000,200000,role_min_f1,0.9877957037997246
leaf107,matched_stratified,3,150000,200000,train_nodes,41748.2292
leaf107,matched_stratified,3,150000,200000,train_edges,567133.92916
leaf107,matched_stratified,4,200000,250000,mean_wup,0.23355945187568664
leaf107,matched_stratified,4,200000,250000,row_overlap,0.9756201709198952
leaf107,matched_stratified,4,200000,250000,f1,0.990177978374958
leaf107,matched_stratified,4,200000,250000,role_min_f1,0.9878015912926197
leaf107,matched_stratified,4,200000,250000,train_nodes,41745.93926
leaf107,matched_stratified,4,200000,250000,train_edges,567073.67748
leaf107,matched_stratified,5,250000,300000,mean_wup,0.23357513527691365
leaf107,matched_stratified,5,250000,300000,row_overlap,0.975551091697216
leaf107,matched_stratified,5,250000,300000,f1,0.9901458511435985
leaf107,matched_stratified,5,250000,300000,role_min_f1,0.9877693298113346
leaf107,matched_stratified,5,250000,300000,train_nodes,41744.20046
leaf107,matched_stratified,5,250000,300000,train_edges,567054.82966
leaf107,matched_stratified,6,300000,350000,mean_wup,0.2337541197118163
leaf107,matched_stratified,6,300000,350000,row_overlap,0.9757137152945995
leaf107,matched_stratified,6,300000,350000,f1,0.9902046025693416
leaf107,matched_stratified,6,300000,350000,role_min_f1,0.9878505152606964
leaf107,matched_stratified,6,300000,350000,train_nodes,41752.33016
leaf107,matched_stratified,6,300000,350000,train_edges,567183.55894
leaf107,matched_stratified,7,350000,400000,mean_wup,0.23369698088139296
leaf107,matched_stratified,7,350000,400000,row_overlap,0.975592481470108
leaf107,matched_stratified,7,350000,400000,f1,0.99015981133461
leaf107,matched_stratified,7,350000,400000,role_min_f1,0.987791396958828
leaf107,matched_stratified,7,350000,400000,train_nodes,41748.7986
leaf107,matched_stratified,7,350000,400000,train_edges,567134.72408
leaf107,matched_stratified,8,400000,450000,mean_wup,0.23367708642184734
leaf107,matched_stratified,8,400000,450000,row_overlap,0.9756500388646125
leaf107,matched_stratified,8,400000,450000,f1,0.9901773587429523
