source_type,version,label_column,observed_positive_genes,best_name,best_go_id,best_collection,best_subcollection,best_source_member,best_candidate_positive_genes,mismatch_genes,agreement,true_positives,false_positives,false_negatives,f1,jaccard,tie_count,tied_names,best_go_in_greene_table6,best_go_in_greene_table9
MSigDB 5.1 all collections,5.1,50,1378,NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS,GO:0048519,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,453,1113,0.7392221180880975,359,94,1019,0.3921354451119607,0.24388586956521738,1,NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS,False,False
MSigDB 5.1 all collections,5.1,51,1164,REGULATION_OF_SIGNAL_TRANSDUCTION,GO:0009966,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,176,1006,0.7642924086223055,167,9,997,0.24925373134328357,0.1423699914748508,1,REGULATION_OF_SIGNAL_TRANSDUCTION,False,False
MSigDB 5.1 all collections,5.1,52,1731,POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS,GO:0048518,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,521,1348,0.6841611996251171,452,69,1279,0.40142095914742454,0.2511111111111111,1,POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS,False,False
MSigDB 5.1 all collections,5.1,53,1635,REGULATION_OF_METABOLIC_PROCESS,GO:0019222,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,509,1332,0.6879100281162136,406,103,1229,0.3787313432835821,0.2336018411967779,1,REGULATION_OF_METABOLIC_PROCESS,False,False
MSigDB 5.1 all collections,5.1,54,957,REGULATION_OF_SIGNAL_TRANSDUCTION,GO:0009966,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,176,803,0.8118556701030928,165,11,792,0.2912621359223301,0.17045454545454544,1,REGULATION_OF_SIGNAL_TRANSDUCTION,False,False
MSigDB 5.1 all collections,5.1,55,1017,TRANSCRIPTION,GO:0006350,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,417,790,0.8149015932521086,322,95,695,0.4490934449093445,0.289568345323741,1,TRANSCRIPTION,False,False
MSigDB 5.1 all collections,5.1,56,698,REGULATION_OF_CELL_DIFFERENTIATION,GO:0045595,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,50,656,0.8462980318650422,46,4,652,0.12299465240641712,0.06552706552706553,1,REGULATION_OF_CELL_DIFFERENTIATION,False,False
MSigDB 5.1 all collections,5.1,57,624,REGULATION_OF_KINASE_ACTIVITY,GO:0043549,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,102,578,0.8645735707591378,74,28,550,0.20385674931129477,0.11349693251533742,3,REGULATION_OF_KINASE_ACTIVITY|REGULATION_OF_PROTEIN_KINASE_ACTIVITY|REGULATION_OF_TRANSFERASE_ACTIVITY,False,False
MSigDB 5.1 all collections,5.1,58,604,ESTABLISHMENT_AND_OR_MAINTENANCE_OF_CHROMATIN_ARCHITECTURE,GO:0006325,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,54,572,0.865979381443299,43,11,561,0.13069908814589665,0.06991869918699187,1,ESTABLISHMENT_AND_OR_MAINTENANCE_OF_CHROMATIN_ARCHITECTURE,False,False
MSigDB 5.1 all collections,5.1,59,892,TRANSCRIPTION,GO:0006350,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,417,667,0.8437207122774133,321,96,571,0.4904507257448434,0.3248987854251012,1,TRANSCRIPTION,False,False
